iter	Passed	Remaining
0	174	174535
1	179	89573
2	183	60858
3	187	46683
4	192	38311
5	196	32599
6	204	28942
7	208	25857
8	212	23390
9	215	21308
10	217	19581
11	221	18236
12	223	17006
13	226	15948
14	228	14997
15	230	14168
16	232	13452
17	234	12789
18	235	12173
19	237	11658
20	239	11174
21	241	10749
22	243	10327
23	245	9968
24	247	9640
25	249	9336
26	251	9061
27	253	8793
28	255	8543
29	256	8309
30	259	8103
31	260	7893
32	261	7676
33	263	7475
34	264	7288
35	266	7133
36	268	6979
37	269	6834
38	271	6698
39	273	6559
40	274	6427
41	276	6300
42	278	6194
43	280	6086
44	281	5981
45	283	5877
46	284	5778
47	286	5687
48	287	5586
49	289	5499
50	290	5411
51	293	5348
52	295	5276
53	296	5202
54	298	5136
55	301	5075
56	302	5004
57	303	4935
58	306	4881
59	308	4825
60	309	4767
61	311	4712
62	313	4662
63	314	4605
64	316	4551
65	317	4497
66	319	4446
67	320	4397
68	322	4346
69	323	4297
70	324	4251
71	326	4205
72	328	4165
73	329	4125
74	331	4085
75	332	4047
76	334	4006
77	335	3966
78	337	3931
79	339	3899
80	340	3866
81	343	3841
82	344	3808
83	346	3776
84	347	3745
85	349	3712
86	350	3682
87	352	3651
88	353	3621
89	356	3602
90	358	3585
91	360	3561
92	361	3527
93	364	3509
94	365	3486
95	367	3459
96	368	3431
97	370	3406
98	371	3384
99	373	3362
100	374	3335
101	375	3309
102	377	3286
103	378	3265
104	380	3242
105	381	3220
106	383	3199
107	384	3177
108	386	3159
109	388	3145
110	390	3127
111	391	3104
112	392	3080
113	394	3062
114	395	3044
115	397	3026
116	398	3007
117	400	2992
118	401	2973
119	403	2961
120	405	2946
121	407	2929
122	408	2911
123	409	2896
124	411	2880
125	412	2859
126	413	2842
127	415	2828
128	416	2813
129	418	2802
130	420	2792
131	422	2776
132	423	2761
133	424	2745
134	426	2733
135	428	2723
136	430	2710
137	431	2696
138	434	2692
139	436	2681
140	437	2668
141	440	2660
142	442	2652
143	444	2641
144	446	2631
145	447	2618
146	450	2613
147	452	2604
148	454	2595
149	455	2583
150	457	2573
151	459	2562
152	460	2551
153	462	2540
154	464	2530
155	466	2523
156	468	2513
157	469	2503
158	470	2490
159	472	2478
160	473	2469
161	475	2460
162	477	2449
163	478	2439
164	480	2429
165	482	2423
166	484	2414
167	485	2404
168	487	2397
169	489	2388
170	490	2378
171	492	2369
172	493	2359
173	495	2351
174	497	2344
175	499	2336
176	500	2329
177	502	2320
178	504	2311
179	505	2301
180	506	2292
181	508	2285
182	509	2276
183	511	2268
184	513	2262
185	514	2252
186	516	2244
187	517	2236
188	519	2227
189	520	2217
190	522	2211
191	523	2203
192	525	2195
193	527	2190
194	529	2186
195	531	2180
196	533	2173
197	534	2165
198	536	2158
199	538	2153
200	539	2145
201	541	2139
202	543	2133
203	545	2129
204	547	2122
205	549	2118
206	551	2111
207	552	2104
208	554	2097
209	556	2091
210	557	2084
211	559	2080
212	562	2079
213	564	2074
214	566	2068
215	567	2060
216	569	2056
217	571	2050
218	573	2046
219	576	2045
220	578	2037
221	580	2034
222	582	2029
223	584	2024
224	585	2017
225	586	2009
226	587	2000
227	589	1995
228	591	1991
229	593	1985
230	594	1978
231	595	1972
232	597	1966
233	598	1960
234	600	1954
235	601	1948
236	603	1944
237	605	1939
238	607	1933
239	608	1926
240	610	1921
241	611	1916
242	613	1909
243	614	1903
244	615	1896
245	617	1891
246	618	1886
247	620	1881
248	622	1878
249	625	1875
250	626	1870
251	628	1864
252	629	1858
253	631	1853
254	632	1849
255	634	1844
256	636	1838
257	638	1835
258	640	1833
259	642	1828
260	644	1826
261	646	1820
262	647	1815
263	649	1810
264	652	1808
265	654	1804
266	656	1801
267	657	1795
268	658	1790
269	660	1786
270	662	1781
271	663	1776
272	665	1772
273	667	1768
274	669	1764
275	671	1760
276	673	1758
277	675	1755
278	677	1750
279	679	1746
280	681	1742
281	682	1738
282	685	1737
283	688	1735
284	691	1733
285	693	1730
286	695	1726
287	697	1724
288	700	1723
289	702	1719
290	704	1716
291	706	1713
292	708	1710
293	710	1705
294	711	1701
295	713	1697
296	714	1691
297	716	1687
298	718	1683
299	719	1679
300	721	1675
301	723	1673
302	726	1670
303	727	1666
304	729	1663
305	731	1659
306	733	1655
307	735	1652
308	737	1648
309	739	1646
310	741	1643
311	743	1639
312	745	1636
313	746	1631
314	747	1626
315	749	1622
316	751	1618
317	753	1615
318	755	1612
319	757	1610
320	759	1606
321	760	1602
322	762	1598
323	764	1594
324	766	1590
325	767	1586
326	769	1583
327	770	1579
328	772	1575
329	774	1571
330	775	1567
331	777	1564
332	778	1560
333	780	1556
334	782	1552
335	784	1549
336	786	1547
337	787	1543
338	789	1539
339	791	1536
340	792	1532
341	794	1527
342	795	1524
343	797	1520
344	798	1516
345	801	1514
346	802	1510
347	804	1506
348	805	1502
349	807	1499
350	808	1494
351	810	1491
352	811	1488
353	813	1484
354	815	1480
355	816	1477
356	818	1474
357	819	1470
358	821	1466
359	823	1463
360	824	1459
361	826	1456
362	828	1454
363	830	1451
364	832	1448
365	834	1445
366	836	1443
367	838	1439
368	839	1435
369	841	1432
370	842	1429
371	844	1425
372	846	1423
373	848	1419
374	849	1415
375	850	1412
376	852	1408
377	853	1404
378	855	1401
379	856	1397
380	857	1393
381	859	1390
382	860	1386
383	862	1383
384	863	1379
385	864	1375
386	866	1371
387	867	1368
388	869	1365
389	870	1360
390	871	1357
391	873	1354
392	874	1351
393	876	1348
394	878	1345
395	879	1341
396	881	1338
397	882	1335
398	883	1331
399	884	1327
400	886	1323
401	887	1320
402	889	1318
403	891	1314
404	892	1310
405	894	1308
406	896	1305
407	897	1302
408	899	1299
409	900	1296
410	902	1292
411	903	1289
412	905	1286
413	906	1283
414	908	1280
415	910	1277
416	911	1274
417	913	1271
418	914	1268
419	916	1265
420	917	1262
421	919	1259
422	921	1256
423	922	1253
424	924	1250
425	925	1247
426	927	1244
427	928	1240
428	929	1237
429	931	1234
430	932	1231
431	934	1228
432	936	1225
433	938	1223
434	940	1221
435	942	1219
436	944	1217
437	946	1214
438	949	1212
439	950	1210
440	952	1207
441	953	1204
442	955	1201
443	957	1198
444	958	1195
445	960	1192
446	961	1189
447	963	1187
448	964	1183
449	966	1180
450	967	1177
451	969	1175
452	970	1172
453	972	1169
454	973	1166
455	975	1164
456	976	1160
457	978	1157
458	980	1155
459	981	1152
460	982	1149
461	984	1146
462	986	1144
463	987	1141
464	989	1138
465	991	1136
466	992	1133
467	994	1130
468	995	1127
469	997	1124
470	999	1122
471	1001	1119
472	1002	1117
473	1004	1114
474	1006	1112
475	1007	1109
476	1009	1107
477	1011	1104
478	1012	1101
479	1013	1098
480	1015	1095
481	1017	1093
482	1019	1091
483	1021	1088
484	1022	1086
485	1025	1084
486	1026	1081
487	1028	1078
488	1029	1076
489	1031	1073
490	1033	1071
491	1034	1068
492	1036	1065
493	1037	1063
494	1039	1060
495	1040	1057
496	1042	1054
497	1043	1052
498	1045	1049
499	1047	1047
500	1048	1044
501	1050	1042
502	1052	1039
503	1053	1037
504	1055	1034
505	1057	1032
506	1058	1029
507	1060	1026
508	1061	1024
509	1063	1021
510	1065	1019
511	1066	1016
512	1068	1014
513	1069	1011
514	1070	1008
515	1072	1005
516	1074	1003
517	1075	1000
518	1077	998
519	1078	995
520	1081	994
521	1083	992
522	1085	990
523	1087	987
524	1088	985
525	1090	982
526	1091	980
527	1093	977
528	1095	975
529	1097	972
530	1098	970
531	1100	967
532	1101	965
533	1102	962
534	1104	960
535	1106	958
536	1108	955
537	1109	952
538	1111	950
539	1113	948
540	1114	945
541	1116	943
542	1117	940
543	1118	937
544	1121	936
545	1123	933
546	1124	931
547	1126	928
548	1127	926
549	1129	924
550	1130	921
551	1131	918
552	1134	916
553	1135	914
554	1137	912
555	1138	909
556	1140	907
557	1142	904
558	1143	902
559	1145	899
560	1147	897
561	1149	895
562	1150	893
563	1152	890
564	1153	888
565	1154	885
566	1156	883
567	1157	880
568	1158	877
569	1160	875
570	1161	872
571	1163	870
572	1164	867
573	1166	865
574	1167	863
575	1169	860
576	1171	858
577	1172	856
578	1174	853
579	1175	851
580	1177	849
581	1179	846
582	1180	844
583	1182	842
584	1183	839
585	1185	837
586	1186	834
587	1188	832
588	1190	830
589	1191	827
590	1193	825
591	1194	823
592	1195	820
593	1197	818
594	1198	816
595	1200	813
596	1202	811
597	1203	809
598	1205	806
599	1206	804
600	1209	802
601	1210	800
602	1211	797
603	1213	795
604	1214	792
605	1215	790
606	1217	788
607	1218	785
608	1220	783
609	1222	781
610	1224	779
611	1226	777
612	1227	774
613	1229	773
614	1231	770
615	1232	768
616	1234	766
617	1236	764
618	1238	762
619	1239	759
620	1241	757
621	1243	755
622	1244	753
623	1246	750
624	1247	748
625	1249	746
626	1251	744
627	1252	741
628	1253	739
629	1255	737
630	1257	735
631	1258	732
632	1260	730
633	1261	728
634	1263	726
635	1265	724
636	1266	721
637	1267	719
638	1269	717
639	1271	715
640	1273	713
641	1274	710
642	1276	708
643	1277	706
644	1279	704
645	1280	701
646	1282	699
647	1283	697
648	1285	695
649	1286	692
650	1288	690
651	1289	688
652	1291	686
653	1292	683
654	1294	681
655	1295	679
656	1297	677
657	1298	674
658	1300	673
659	1302	670
660	1304	668
661	1305	666
662	1307	664
663	1308	662
664	1310	659
665	1311	657
666	1313	655
667	1315	653
668	1316	651
669	1318	649
670	1320	647
671	1321	644
672	1322	642
673	1324	640
674	1325	638
675	1326	635
676	1328	633
677	1331	632
678	1333	630
679	1335	628
680	1338	627
681	1341	625
682	1343	623
683	1345	621
684	1346	619
685	1348	617
686	1350	615
687	1351	613
688	1353	611
689	1355	608
690	1357	606
691	1359	604
692	1360	602
693	1362	600
694	1364	598
695	1366	596
696	1367	594
697	1369	592
698	1371	590
699	1372	588
700	1374	586
701	1376	584
702	1377	582
703	1379	580
704	1380	577
705	1382	575
706	1383	573
707	1385	571
708	1386	569
709	1388	567
710	1389	564
711	1391	562
712	1392	560
713	1394	558
714	1395	556
715	1397	554
716	1398	551
717	1400	549
718	1401	547
719	1403	545
720	1404	543
721	1406	541
722	1407	539
723	1409	537
724	1411	535
725	1413	533
726	1415	531
727	1416	529
728	1417	527
729	1419	524
730	1420	522
731	1422	520
732	1423	518
733	1425	516
734	1426	514
735	1428	512
736	1430	510
737	1431	508
738	1433	506
739	1434	504
740	1436	502
741	1437	499
742	1439	497
743	1441	495
744	1442	493
745	1443	491
746	1444	489
747	1445	487
748	1447	484
749	1448	482
750	1449	480
751	1451	478
752	1452	476
753	1453	474
754	1454	472
755	1456	470
756	1457	467
757	1458	465
758	1460	463
759	1461	461
760	1462	459
761	1464	457
762	1465	455
763	1467	453
764	1468	450
765	1469	448
766	1470	446
767	1472	444
768	1473	442
769	1475	440
770	1476	438
771	1477	436
772	1478	434
773	1479	432
774	1480	429
775	1481	427
776	1483	425
777	1484	423
778	1485	421
779	1486	419
780	1487	417
781	1488	415
782	1490	413
783	1491	411
784	1492	408
785	1493	406
786	1494	404
787	1496	402
788	1497	400
789	1498	398
790	1499	396
791	1500	394
792	1501	391
793	1502	389
794	1504	387
795	1505	385
796	1506	383
797	1507	381
798	1509	379
799	1510	377
800	1511	375
801	1512	373
802	1513	371
803	1514	369
804	1516	367
805	1517	365
806	1518	363
807	1519	361
808	1520	359
809	1521	357
810	1523	354
811	1524	352
812	1525	350
813	1526	348
814	1527	346
815	1528	344
816	1530	342
817	1531	340
818	1533	338
819	1534	336
820	1535	334
821	1536	332
822	1538	330
823	1539	328
824	1540	326
825	1541	324
826	1542	322
827	1543	320
828	1545	318
829	1546	316
830	1547	314
831	1548	312
832	1550	310
833	1551	308
834	1552	306
835	1554	304
836	1555	302
837	1556	300
838	1557	298
839	1559	296
840	1560	294
841	1561	292
842	1562	290
843	1563	289
844	1565	287
845	1566	285
846	1567	283
847	1568	281
848	1570	279
849	1571	277
850	1572	275
851	1573	273
852	1574	271
853	1575	269
854	1577	267
855	1578	265
856	1579	263
857	1580	261
858	1581	259
859	1582	257
860	1584	255
861	1586	253
862	1587	251
863	1588	249
864	1589	248
865	1590	246
866	1591	244
867	1592	242
868	1593	240
869	1594	238
870	1595	236
871	1596	234
872	1598	232
873	1599	230
874	1600	228
875	1601	226
876	1602	224
877	1603	222
878	1604	220
879	1606	219
880	1607	217
881	1608	215
882	1609	213
883	1610	211
884	1611	209
885	1612	207
886	1613	205
887	1614	203
888	1615	201
889	1616	199
890	1617	197
891	1618	196
892	1620	194
893	1621	192
894	1622	190
895	1623	188
896	1624	186
897	1625	184
898	1627	182
899	1628	180
900	1629	179
901	1630	177
902	1632	175
903	1633	173
904	1635	171
905	1636	169
906	1638	168
907	1640	166
908	1641	164
909	1643	162
910	1644	160
911	1645	158
912	1647	157
913	1649	155
914	1650	153
915	1652	151
916	1653	149
917	1655	147
918	1656	146
919	1657	144
920	1658	142
921	1660	140
922	1664	138
923	1666	137
924	1668	135
925	1669	133
926	1671	131
927	1672	129
928	1674	127
929	1675	126
930	1677	124
931	1679	122
932	1681	120
933	1682	118
934	1683	117
935	1685	115
936	1686	113
937	1688	111
938	1689	109
939	1691	107
940	1692	106
941	1694	104
942	1696	102
943	1697	100
944	1699	98
945	1700	97
946	1702	95
947	1703	93
948	1705	91
949	1707	89
950	1708	88
951	1711	86
952	1714	84
953	1716	82
954	1718	80
955	1720	79
956	1722	77
957	1724	75
958	1726	73
959	1728	72
960	1730	70
961	1732	68
962	1733	66
963	1735	64
964	1736	62
965	1737	61
966	1739	59
967	1740	57
968	1742	55
969	1743	53
970	1744	52
971	1746	50
972	1747	48
973	1748	46
974	1750	44
975	1751	43
976	1752	41
977	1754	39
978	1755	37
979	1757	35
980	1758	34
981	1759	32
982	1761	30
983	1762	28
984	1763	26
985	1765	25
986	1766	23
987	1768	21
988	1769	19
989	1770	17
990	1772	16
991	1773	14
992	1774	12
993	1776	10
994	1777	8
995	1779	7
996	1780	5
997	1781	3
998	1783	1
999	1784	0
